一级分类名称,一级分类编码,二级分类名称,二级分类编码,三级分类名称,三级分类编码,三级分类链接,产品数量,48产品页数,采集时间
바디케어,10000010003,데오도란트,100000100030012,데오롤온,1000001000300120003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300120003&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000300120003_Small,19,1,2021-12-16 12:06:01
바디케어,10000010003,데오도란트,100000100030012,데오스틱,1000001000300120002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300120002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000300120002_Small,9,1,2021-12-16 12:06:01
바디케어,10000010003,데오도란트,100000100030012,데오스프레이,1000001000300120004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300120004&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000300120004_Small,25,1,2021-12-16 12:06:02
바디케어,10000010003,데오도란트,100000100030012,데오티슈,1000001000300120001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300120001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000300120001_Small,3,1,2021-12-16 12:06:02
헤어케어,10000010004,샴푸/린스,100000100040008, 전체,100000100040008,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040008&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040008_Small,515,11,2021-12-16 12:06:05
헤어케어,10000010004,샴푸/린스,100000100040008,샴푸,1000001000400080001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400080001_Small,440,10,2021-12-16 12:06:05
헤어케어,10000010004,샴푸/린스,100000100040008,샴푸바,1000001000400080004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080004&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400080004_Small,51,2,2021-12-16 12:06:06
헤어케어,10000010004,샴푸/린스,100000100040008,드라이샴푸,1000001000400080005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080005&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400080005_Small,66,2,2021-12-16 12:06:07
헤어케어,10000010004,샴푸/린스,100000100040008,린스/컨디셔너,1000001000400080002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400080002_Small,77,2,2021-12-16 12:06:07
헤어케어,10000010004,트리트먼트/팩,100000100040007, 전체,100000100040007,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040007&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040007_Small,268,6,2021-12-16 12:06:08
헤어케어,10000010004,트리트먼트/팩,100000100040007,두피팩/스케일러,1000001000400070003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400070003&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400070003_Small,28,1,2021-12-16 12:06:08
헤어케어,10000010004,트리트먼트/팩,100000100040007,헤어팩/마스크,1000001000400070004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400070004&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400070004_Small,88,2,2021-12-16 12:06:09
헤어케어,10000010004,트리트먼트/팩,100000100040007,트리트먼트,1000001000400070005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400070005&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400070005_Small,174,4,2021-12-16 12:06:09
헤어케어,10000010004,헤어기기,100000100040004, 전체,100000100040004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040004&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040004_Small,156,4,2021-12-16 12:06:10
헤어케어,10000010004,헤어기기,100000100040004,탈모/두피기기,1000001000400040006,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040006&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400040006_Small,8,1,2021-12-16 12:06:10
헤어케어,10000010004,헤어기기,100000100040004,헤어롤,1000001000400040007,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040007&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400040007_Small,12,1,2021-12-16 12:06:11
헤어케어,10000010004,헤어기기,100000100040004,고데기,1000001000400040008,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040008&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400040008_Small,96,3,2021-12-16 12:06:11
헤어케어,10000010004,헤어기기,100000100040004,드라이기,1000001000400040009,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040009&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400040009_Small,42,1,2021-12-16 12:06:12
헤어케어,10000010004,헤어브러쉬,100000100040009, 전체,100000100040009,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040009&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040009_Small,122,3,2021-12-16 12:06:12
