표준 성분명,표준 영문명
섬오갈피나무부정근배양추출물,Acanthopanax Koreanum Adventitious Root Culture Extract
섬오갈피나무추출물,Acanthopanax Koreanum Extract
섬오갈피나무열매추출물,Acanthopanax Koreanum Fruit Extract
섬오갈피나무뿌리추출물,Acanthopanax Koreanum Root Extract
가시오갈피추출물,Acanthopanax Senticosus (Eleuthero) Extract
가시오갈피뿌리,Acanthopanax Senticosus (Eleuthero) Root
가시오갈피뿌리추출물,Acanthopanax Senticosus (Eleuthero) Root Extract
가시오갈피뿌리수,Acanthopanax Senticosus (Eleuthero) Root Water
가시오갈피줄기추출물,Acanthopanax Senticosus (Eleuthero) Stem Extract
가시오갈피캘러스배양추출물,Acanthopanax Senticosus Callus Culture Extract
오갈피나무껍질추출물,Acanthopanax Sessiliflorus Bark Extract
오갈피나무껍질/뿌리/줄기추출물,Acanthopanax Sessiliflorus Bark/Root/Stem Extract
오갈피나무뿌리추출물,Acanthopanax Sessiliflorus Root Extract
오갈피나무줄기추출물,Acanthopanax Sessiliflorus Stem Extract
베아스브리치잎추출물,Acanthus Mollis Leaf Extract
아세필린메틸실란올만누로네이트,Acefylline Methylsilanol Mannuronate
캄페스트레단풍싹추출물,Acer Campestre Bud Extract
고로쇠나무수액,Acer Mono Sap
담쟁이덩굴나무껍질추출물,Acer Nikoense Bark Extract
담쟁이덩굴가지/줄기추출물,Acer Nikoense Branch/Stem Extract
단풍나무잎추출물,Acer Palmatum Leaf Extract
개버즘단풍나무추출물,Acer Pseudoplatanus Extract
꽃단풍나무껍질추출물,Acer Rubrum Bark Extract
꽃단풍나무추출물,Acer Rubrum Extract
설탕단풍추출물,Acer Saccharum (Sugar Maple) Extract
설탕단풍수액,Acer Saccharum (Sugar Maple) Sap
설탕단풍수액추출물,Acer Saccharum (Sugar Maple) Sap Extract
산겨릅나무줄기추출물,Acer Tegmentosum Stem Extract
아세트알데하이드,Acetaldehyde
아세타마이드엠이에이,Acetamide MEA
아세타미도카프로익애씨드,Acetamidocaproic Acid
아세타미도에톡시부틸트라이모늄클로라이드,Acetamidoethoxybutyl Trimonium Chloride
아세트아미도에틸피지-트라이모늄클로라이드,Acetamidoethyl PG-Trimonium Chloride
아세트아미도프로필트라이모늄클로라이드,Acetamidopropyl Trimonium Chloride
아세트아미노펜,Acetaminophen
아세타미노살롤,Acetaminosalol
아세트아닐라이드,Acetanilid
아세틱애씨드,Acetic Acid
아세틱/리놀레익/팔미틱트라이글리세라이드,Acetic/Linoleic/Palmitic Triglyceride
