표준 성분명,표준 영문명
쌀추출물,Oryza Sativa (Rice) Extract
흑미추출물,Oryza Sativa (Rice) Extract
쌀배아추출물,Oryza Sativa (Rice) Germ Extract
쌀배아오일,Oryza Sativa (Rice) Germ Oil
쌀배아가루,Oryza Sativa (Rice) Germ Powder
왕겨추출물,Oryza Sativa (Rice) Hull Extract
왕겨가루,Oryza Sativa (Rice) Hull Powder
쌀,Oryza Sativa (Rice) Kernel
벼잎추출물,Oryza Sativa (Rice) Leaf Extract
벼잎/줄기추출물,Oryza Sativa (Rice) Leaf/Stem Extract
쌀지게미추출물,Oryza Sativa (Rice) Lees Extract
쌀지게미수,Oryza Sativa (Rice) Lees Water
쌀지질,Oryza Sativa (Rice) Lipids
쌀가루,Oryza Sativa (Rice) Powder
쌀오일,Oryza Sativa (Rice) Seed Oil
쌀단백질,Oryza Sativa (Rice) Seed Protein
쌀단백질추출물,Oryza Sativa (Rice) Seed Protein Extract
쌀수,Oryza Sativa (Rice) Seed Water
쌀전분,Oryza Sativa (Rice) Starch
오리자놀,Oryzanol
스마일로그래스추출물,Oryzopsis Miliacea Extract
목서꽃추출물,Osmanthus Fragrans Flower Extract
목서꽃오일,Osmanthus Fragrans Flower Oil
목서잎추출물,Osmanthus Fragrans Leaf Extract
박달목서잎추출물,Osmanthus Insularis Leaf Extract
신감채추출물,Ostericum Koreanum Extract
오스톨,Osthole
오스트레아,Ostrea
유럽굴추출물,Ostrea Edulis Extract
타조오일,Ostrich Oil
새우나무잎추출물,Ostrya Japonica Leaf Extract
o-톨일바이구아나이드,o-Tolyl Biguanide
오우리쿠리왁스,Ouricury Wax
오발리신,Ovalicin
동물난소추출물,Ovarian Extract
달걀,Ovum
옥살릭애씨드,Oxalic Acid
헤디사로이데스사랑초추출물,Oxalis Hedysaroides Extract
헤디사로이데스사랑초꽃,Oxalis Hedysaroides Flower
헤디사로이데스사랑초잎,Oxalis Hedysaroides Leaf
헤디사로이데스사랑초오일,Oxalis Hedysaroides Oil
옥시다이즈드비즈왁스,Oxidized Beeswax
옥시다이즈드셀룰로오스스테아라마이드,Oxidized Cellulose Stearamide
옥시다이즈드옥수수오일,Oxidized Corn Oil
옥시다이즈드에틸렌/프로필렌코폴리머,Oxidized Ethylene/Propylene Copolymer
옥시다이즈드글루타티온,Oxidized Glutathione
옥시다이즈드케라틴,Oxidized Keratin
옥시다이즈드마이크로크리스탈린왁스,Oxidized Microcrystalline Wax
옥시다이즈드폴리에틸렌,Oxidized Polyethylene
옥시다이즈드폴리프로필렌,Oxidized Polypropylene
옥시도리덕타아제,Oxido Reductases
옥소아잔드로스텐카복실로일데카펩타이드-18,Oxo Azaandrostene Carboxyloyl Decapeptide-18
옥소디옥시구아노신,Oxodeoxy Guanosine
옥소티아졸리딘,Oxothiazolidine
옥소티아졸리딘카복실릭애씨드,Oxothiazolidinecarboxylic Acid
넌출월귤씨오일,Oxycoccus Palustris Seed Oil
사워우드잎/줄기캘러스배양추출물,Oxydendron Arboreum Leaf/Stem Callus Culture Extract
산소,Oxygen
옥시메틸렌/멜라민코폴리머,Oxymethylene/Melamine Copolymer
옥시퀴놀린벤조에이트,Oxyquinoline Benzoate
나도수영캘러스추출물,Oxyria Digyna Callus Extract
나도수영추출물,Oxyria Digyna Extract
굴추출물,Oyster Extract
굴껍질추출물,Oyster Shell Extract
굴껍질가루,Oyster Shell Powder
굴스테롤,Oyster Sterols
오조케라이트,Ozokerite
오존화아르간오일,Ozonized Argan Oil
오존화캐스터오일,Ozonized Castor Oil
오존화호호바오일,Ozonized Jojoba Oil
오존화올리브오일,Ozonized Olive Oil
오존화벼캘러스배양추출물,Ozonized Oryza Sativa (Rice) Callus Culture Extract
오존화피이지-14올리에이트,Ozonized PEG-14 Oleate
오존화효모발효용해여과물,Ozonized Saccharomyces Ferment Lysate Filtrate
오존화해바라기씨오일,Ozonized Sunflower Seed Oil
파바에스에이치-펜타펩타이드-9,PABA sh-Pentapeptide-9
얌빈뿌리추출물,Pachyrhizus Erosus Root Extract
파디나 보리아나추출물,Padina Boryana Extract
분부챗말추출물,Padina Gymnospora Extract
파디나 파보니카추출물,Padina Pavonica Extract
파디나 파보니카엽상체추출물,Padina Pavonica Thallus Extract
눈꽃동충하초균사체/창포뿌리발효추출여과물,Paecilomyces Japonica Mycelium/Acorus Calamus Root Ferment Extract Filtrate
흰꽃동충하초균사체/인삼뿌리발효추출여과물,Paecilomyces Japonica Mycelium/Ginseng Root Ferment Extract Filtrate
흰꽃동충하초균사체/하수오발효추출여과물,Paecilomyces Japonica Mycelium/Polygonum Multiflorum Root Ferment Extract Filtrate
흰꽃동충하초/사슴뿔발효추출여과물,Paecilomyces Japonica/Deer Antler Ferment Extract Filtrate
눈꽃동충하초/포도/오이즙추출물발효여과물,Paecilomyces Japonica/Grape/Cucumber Juice Extract Ferment Filtrate
눈꽃동충하초/뽕나무잎발효여과물,Paecilomyces Japonica/Morus Alba Leaf Ferment Filtrate
눈꽃동충하초/인삼발효여과물,Paecilomyces Japonica/Panax Ginseng Root Ferment Filtrate
흰꽃동충하초/스노우로투스발효추출여과물,Paecilomyces Japonica/Saussurea Involucrata Ferment Extract Filtrate
계요동추출물,Paederia Foetida Extract
작약꽃추출물,Paeonia Albiflora Flower Extract
작약뿌리가루,Paeonia Albiflora Root Powder
작약나무껍질/수액추출물,Paeonia Lactiflora Bark/Sap Extract
작약캘러스배양추출물,Paeonia Lactiflora Callus Culture Extract
작약추출물,Paeonia Lactiflora Extract
작약잎세포추출물,Paeonia Lactiflora Leaf Cell Extract
작약뿌리,Paeonia Lactiflora Root
작약뿌리추출물,Paeonia Lactiflora Root Extract
작약뿌리수,Paeonia Lactiflora Root Water
약작약꽃추출물,Paeonia Officinalis Flower Extract
약작약뿌리추출물,Paeonia Officinalis Root Extract
모란껍질추출물,Paeonia Suffruticosa Bark Extract
모란가지/꽃/잎추출물,Paeonia Suffruticosa Branch/Flower/Leaf Extract
모란캘러스추출물,Paeonia Suffruticosa Callus Extract
모란추출물,Paeonia Suffruticosa Extract
모란꽃추출물,Paeonia Suffruticosa Flower Extract
모란꽃수,Paeonia Suffruticosa Flower Water
모란피토플라센타추출물,Paeonia Suffruticosa Phytoplacenta Extract
모란뿌리추출물,Paeonia Suffruticosa Root Extract
모란뿌리수,Paeonia Suffruticosa Root Water
모란씨오일,Paeonia Suffruticosa Seed Oil
파에오놀,Paeonol
팔라우화이트클레이,Palau White Clay
팔라우화이트클레이추출물,Palau White Clay Extract
팔라듐,Palladium
팜애씨드,Palm Acid
팜알코올,Palm Alcohol
팜글리세라이드,Palm Glyceride
팜글리세라이즈,Palm Glycerides
팜커넬애씨드,Palm Kernel Acid
팜커넬알코올,Palm Kernel Alcohol
팜커넬글리세라이즈,Palm Kernel Glycerides
팜커넬왁스,Palm Kernel Wax
팜커넬/코코글루코사이드,Palm Kernel/Coco Glucoside
팜커넬아마이드디이에이,Palm Kernelamide DEA
팜커넬아마이드엠이에이,Palm Kernelamide MEA
팜커넬아마이드미파,Palm Kernelamide MIPA
팜커넬아미도프로필베타인,Palm Kernelamidopropyl Betaine
팜아마이드디이에이,Palmamide DEA
팜아마이드엠이에이,Palmamide MEA
팜아마이드미파,Palmamide MIPA
팜아미도프로필베타인,Palmamidopropyl Betaine
팜아미도프로필트라이모늄메토설페이트,Palmamidopropyl Trimonium Methosulfate
팔손이분홍치추출물,Palmaria Palmata Extract
팔손이분홍치가루,Palmaria Palmata Powder
팔마틴,Palmatine
팔메스-2,Palmeth-2
팔메스-2포스페이트,Palmeth-2 Phosphate
팔미타마이드,Palmitamide
팔미타마이드디이에이,Palmitamide DEA
팔미타마이드엠이에이,Palmitamide MEA
팔미타미도부틸구아니딘아세테이트,Palmitamidobutyl Guanidine Acetate
팔미타미도헥사데칸다이올,Palmitamidohexadecanediol
팔미타미도프로필베타인,Palmitamidopropyl Betaine
팔미타미도프로필다이에틸아민,Palmitamidopropyl Diethylamine
팔미타미도프로필다이메틸아민,Palmitamidopropyl Dimethylamine
팔미타미도프로필다이메틸아민락테이트,Palmitamidopropyl Dimethylamine Lactate
팔미타미도프로필다이메틸아민프로피오네이트,Palmitamidopropyl Dimethylamine Propionate
팔미타미도프로필아민옥사이드,Palmitamidopropylamine Oxide
팔미타미도프로필트라이모늄클로라이드,Palmitamidopropyltrimonium Chloride
팔미타민,Palmitamine
팔미타민옥사이드,Palmitamine Oxide
팔미틱애씨드,Palmitic Acid
팔미틱애씨드/펜타에리스리톨/스테아릭애씨드/테레프탈릭애 씨드코폴리머,Palmitic Acid/Pentaerythritol/Stearic Acid/Terephthalic Acid Copolymer
팔미틱/스테아릭트라이글리세라이드,Palmitic/Stearic Triglyceride
팔미톨레아미도프로필다이메틸아민락테이트,Palmitoleamidopropyl Dimethylamine Lactate
팔미톨레아미도프로필다이메틸아민프로피오네이트,Palmitoleamidopropyl Dimethylamine Propionate
팔미토일알지닌,Palmitoyl Arginine
팔미토일녹차추출물,Palmitoyl Camellia Sinensis Extract
팔미토일카르니틴,Palmitoyl Carnitine
팔미토일콜라겐아미노산,Palmitoyl Collagen Amino Acids
팔미토일데카펩타이드-21,Palmitoyl Decapeptide-21
팔미토일다이펩타이드-10,Palmitoyl Dipeptide-10
팔미토일다이펩타이드-13,Palmitoyl Dipeptide-13
팔미토일다이펩파이드-17,Palmitoyl Dipeptide-17
팔미토일다이펩타이드-18,Palmitoyl Dipeptide-18
팔미토일다이펩타이드-5다이아미노부틸로일하이드록시트레 오닌,Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine
팔미토일다이펩타이드-5다이아미노하이드록시부틸레이트,Palmitoyl Dipeptide-5 Diaminohydroxybutyrate
팔미토일다이펩타이드-52,Palmitoyl Dipeptide-52
팔미토일다이펩타이드-7,Palmitoyl Dipeptide-7
팔미토일글루타믹애씨드,Palmitoyl Glutamic Acid
팔미토일글라이신,Palmitoyl Glycine
팔미토일포도씨추출물,Palmitoyl Grape Seed Extract
팔미토일포도덩굴싹추출물,Palmitoyl Grapevine Shoot Extract
팔미토일헵타펩타이드-18,Palmitoyl Heptapeptide-18
팔미토일헵타펩타이드-27,Palmitoyl Heptapeptide-27
팔미토일헵타펩타이드-48,Palmitoyl Heptapeptide-48
팔미토일헵타펩타이드-5,Palmitoyl Heptapeptide-5
팔미토일헥사펩타이드-12,Palmitoyl Hexapeptide-12
팔미토일헥사펩타이드-14,Palmitoyl Hexapeptide-14
팔미토일헥사펩타이드-15,Palmitoyl Hexapeptide-15
팔미토일헥사펩타이드-19,Palmitoyl Hexapeptide-19
팔미토일헥사펩타이드-26,Palmitoyl Hexapeptide-26
팔미토일헥사펩타이드-52,Palmitoyl Hexapeptide-52
팔미토일헥사펩타이드-56,Palmitoyl Hexapeptide-56
팔미토일하이드롤라이즈드콜라겐,Palmitoyl Hydrolyzed Collagen
팔미토일하이드롤라이즈드우유단백질,Palmitoyl Hydrolyzed Milk Protein
팔미토일하이드롤라이즈드밀단백질,Palmitoyl Hydrolyzed Wheat Protein
팔미토일하이드록시프로필셀룰로오스,Palmitoyl Hydroxypropylcellulose
팔미토일하이드록시프로필트리모늄아밀로펙틴/글리세린크로 스폴리머,Palmitoyl Hydroxypropyltrimonium Amylopectin / Glycerine Crosspolymer
팔미토일하이드록시프로필트라이모늄아밀로펙틴/글리세린크 로스폴리머,Palmitoyl Hydroxypropyltrimonium Amylopectin/Glycerin Crosspolymer
팔미토일이눌린,Palmitoyl Inulin
팔미토일아이소류신,Palmitoyl Isoleucine
팔미토일케라틴아미노산,Palmitoyl Keratin Amino Acids
팔미토일라이실아미노발레로일라이신,Palmitoyl Lysyl Aminovaleroyl Lysine
팔미토일마유,Palmitoyl Mare Milk
팔미토일메톡시트립타민,Palmitoyl Methoxytryptamine
팔미토일미리스틸세리네이트,Palmitoyl Myristyl Serinate
팔미토일노나펩타이드-6,Palmitoyl Nonapeptide-6
팔미토일옥타펩타이드-24,Palmitoyl Octapeptide-24
팔미토일옥타펩타이드-40,Palmitoyl Octapeptide-40
팔미토일올리고펩타이드,Palmitoyl Oligopeptide
팔미토일올리고펩타이드-70,Palmitoyl Oligopeptide-70
팔미토일올리고펩타이드-78,Palmitoyl Oligopeptide-78
팔미토일팔미타마이드엠이에이,Palmitoyl Palmitamide MEA
팔미토일완두콩아미노산,Palmitoyl Pea Amino Acids
팔미토일펜타펩타이드-4,Palmitoyl Pentapeptide-4
팔미토일펜타펩타이드-5,Palmitoyl Pentapeptide-5
팔미토일피지-트라이모늄클로라이드,Palmitoyl PG-Trimonium Chloride
팔미토일소나무껍질추출물,Palmitoyl Pine Bark Extract
팔미토일토멘틸뿌리추출물,Palmitoyl Potentilla Erecta Root Extract
팔미토일프롤린,Palmitoyl Proline
팔미토일퀴노아아미노산,Palmitoyl Quinoa Amino Acids
팔미토일에스에이치-옥타펩타이드-24아마이드,Palmitoyl sh-Octapeptide-24 Amide
팔미토일에스에이치-올리고펩타이드-79,Palmitoyl sh-Oligopeptide-79
팔미토일에스에이치-펜타펩타이드-4,Palmitoyl sh-Pentapeptide-4
팔미토일에스에이치-테트라펩타이드-2아마이드,Palmitoyl sh-Tetrapeptide-2 Amide
팔미토일에스에이치-트라이펩타이드-1아마이드,Palmitoyl sh-Tripeptide-1 Amide
팔미토일에스에이치-트라이펩타이드-2아마이드,Palmitoyl sh-Tripeptide-2 Amide
팔미토일에스에이치-트라이펩타이드-3아마이드,Palmitoyl sh-Tripeptide-3 Amide
팔미토일에스에이치-트라이펩타이드-4아마이드,Palmitoyl sh-Tripeptide-4 Amide
팔미토일에스에이치-트라이펩타이드-5노르아이소류실에스에 이치-노나펩타이드-1,Palmitoyl sh-Tripeptide-5 Norisoleucyl sh-Nonapeptide- 1
팔미토일실크아미노산,Palmitoyl Silk Amino Acids
팔미토일테트라펩타이드-10,Palmitoyl Tetrapeptide-10
팔미토일테트라펩타이드-20,Palmitoyl Tetrapeptide-20
팔미토일테트라펩타이드-20아마이드,Palmitoyl Tetrapeptide-20 Amide
팔미토일테트라펩타이드-3,Palmitoyl Tetrapeptide-3
팔미토일테트라펩타이드-50,Palmitoyl Tetrapeptide-50
팔미토일테트라펩타이드-7,Palmitoyl Tetrapeptide-7
팔미토일테트라펩타이드-72아마이드,Palmitoyl Tetrapeptide-72 Amide
팔미토일트라이펩타이드-1,Palmitoyl Tripeptide-1
팔미토일트라이펩타이드-1아세테이트,Palmitoyl Tripeptide-1 Acetate
팔미토일트라이펩타이드-28,Palmitoyl Tripeptide-28
팔미토일트라이펩타이드-29,Palmitoyl Tripeptide-29
팔미토일트라이펩타이드-31,Palmitoyl Tripeptide-31
팔미토일트라이펩타이드-36,Palmitoyl Tripeptide-36
팔미토일트라이펩타이드-37,Palmitoyl Tripeptide-37
팔미토일트라이펩타이드-38,Palmitoyl Tripeptide-38
팔미토일트라이펩타이드-4,Palmitoyl Tripeptide-4
팔미토일트라이펩타이드-40,Palmitoyl Tripeptide-40
팔미토일트라이펩타이드-42,Palmitoyl Tripeptide-42
팔미토일트라이펩타이드-5,Palmitoyl Tripeptide-5
팔미토일트라이펩타이드-5아미도프로필아스코빌포스페이트 에이치씨엘,Palmitoyl Tripeptide-5 Amidopropyl Ascorbyl Phosphate HCl
팔미토일트라이펩타이드-52아마이드,Palmitoyl Tripeptide-52 Amide
팔미토일트라이펩타이드-53아마이드,Palmitoyl Tripeptide-53 Amide
팔미토일트라이펩타이드-54아마이드,Palmitoyl Tripeptide-54 Amide
팔미토일트라이펩타이드-7에이치씨엘,Palmitoyl Tripeptide-7 HCl
팔미토일트라이펩타이드-71아마이드,Palmitoyl Tripeptide-71 Amide
팔미토일트라이펩타이드-8,Palmitoyl Tripeptide-8
p-아미노페놀,p-Aminophenol
황산p-아미노페놀,p-Aminophenol Sulfate
인삼부정근배양오일,Panax Ginseng Adventitious Root Culture Oil
인삼열매추출물,Panax Ginseng Berry Extract
인삼캘러스배양액,Panax Ginseng Callus Culture Conditioned Media
인삼캘러스배양추출물,Panax Ginseng Callus Culture Extract
인삼캘러스추출물,Panax Ginseng Callus Extract
인삼세포배양추출물,Panax Ginseng Cell Culture Extract
산양삼전초추출물,Panax Ginseng Extract
인삼전초추출물,Panax Ginseng Extract
인삼꽃추출물,Panax Ginseng Flower Extract
인삼잎세포추출물,Panax Ginseng Leaf Cell Extract
인삼잎/뿌리/줄기추출물,Panax Ginseng Leaf/Root/Stem Extract
인삼잎/줄기추출물,Panax Ginseng Leaf/Stem Extract
인삼잎/줄기가루,Panax Ginseng Leaf/Stem Powder
인삼분열조직세포,Panax Ginseng Meristem Cell
인삼분열조직세포배양물,Panax Ginseng Meristem Cell Culture
인삼분열조직세포배양액,Panax Ginseng Meristem Cell Culture Conditioned Media
인삼분열조직세포배양액추출물,Panax Ginseng Meristem Cell Culture Conditioned Media Extract
인삼분열조직세포추출물,Panax Ginseng Meristem Cell Extract
산양삼전초가루,Panax Ginseng Powder
산양삼뿌리,Panax Ginseng Root
인삼,Panax Ginseng Root
홍삼,Panax Ginseng Root
인삼뿌리세포추출물,Panax Ginseng Root Cell Extract
산양삼추출물,Panax Ginseng Root Extract
인삼추출물,Panax Ginseng Root Extract
홍삼추출물,Panax Ginseng Root Extract
흑삼추출물,Panax Ginseng Root Extract
홍삼오일,Panax Ginseng Root Oil
산양삼가루,Panax Ginseng Root Powder
인삼가루,Panax Ginseng Root Powder
홍삼가루,Panax Ginseng Root Powder
인삼뿌리프로토플라스트,Panax Ginseng Root Protoplasts
인삼수,Panax Ginseng Root Water
홍삼수,Panax Ginseng Root Water
인삼/맥문동추출물,Panax Ginseng Root/Liriope Muscari Extract
홍삼/로얄젤리추출물,Panax Ginseng Root/Royal Jelly Extract
인삼/녹용추출물,Panax Ginseng Root/Velvet Extract
홍삼/녹용추출물,Panax Ginseng Root/Velvet Extract.
인삼씨추출물,Panax Ginseng Seed Extract
인삼씨오일,Panax Ginseng Seed Oil
인삼씨펩타이드,Panax Ginseng Seed Peptide
인삼씨폴리사카라이드,Panax Ginseng Seed Polysaccharide
인삼씨가루,Panax Ginseng Seed Powder
인삼싹추출물,Panax Ginseng Sprout Extract
죽절삼뿌리추출물,Panax Japonicus Root Extract
삼칠추출물,Panax Notoginseng Extract
삼칠잎/줄기추출물,Panax Notoginseng Leaf/Stem Extract
삼칠뿌리추출물,Panax Notoginseng Root Extract
삼칠뿌리가루,Panax Notoginseng Root Powder
서양인삼뿌리추출물,Panax Quinquefolius Root Extract
씨대퍼딜추출물,Pancratium Maritimum Extract
판크레아틴,Pancreatin
판다누스잎추출물,Pandanus Amaryllifolius Leaf Extract
부아메라열매오일,Pandanus Conoideus Fruit Oil
판단열매추출물,Pandanus Tectorius Fruit Extract
기장추출물,Panicum Miliaceum (Millet) Seed Extract
기장가루,Panicum Miliaceum (Millet) Seed Flour
기장씨오일,Panicum Miliaceum (Millet) Seed Oil
기장싹추출물,Panicum Miliaceum (Millet) Sprout Extract
p-아니식애씨드,p-Anisic Acid
판테테인설포네이트,Pantetheine Sulfonate
판테틴,Pantethine
판테놀,Panthenol
판테닐에틸에터,Panthenyl Ethyl Ether
판테닐에틸에터아세테이트,Panthenyl Ethyl Ether Acetate
판테닐에틸에터벤조에이트,Panthenyl Ethyl Ether Benzoate
판테닐하이드록시프로필스테아다이모늄클로라이드,Panthenyl Hydroxypropyl Steardimonium Chloride
판테닐트라이아세테이트,Panthenyl Triacetate
판토에아 아글로메란스/밀가루발효추출물,Pantoea Agglomerans/Wheat Flour Ferment Extract
판토에아/쌀겨발효추출물여과물,Pantoea/Rice Bran Ferment Extract Filtrate
판토락톤,Pantolactone
판토텐아마이드엠이에이,Pantothenamide MEA
판토테닉애씨드,Pantothenic Acid
판토테닉애씨드/효모폴리펩타이드,Pantothenic Acid/Yeast Polypeptide
파파인,Papain
파파인베타-글루칸,Papain Beta-Glucan
숙근양귀비씨오일,Papaver Orientale (Poppy) Seed Oil
두메양귀비캘러스추출물,Papaver Radicatum Callus Extract
개양귀비추출물,Papaver Rhoeas Extract
개양귀비꽃추출물,Papaver Rhoeas Flower Extract
개양귀비꽃수,Papaver Rhoeas Flower Water
개양귀비꽃잎추출물,Papaver Rhoeas Petal Extract
개양귀비씨추출물,Papaver Rhoeas Seed Extract
연두털말추출물,Papenfussiella Kuromo Extract
풍선난초꽃추출물,Paphiopedilum Maudiae (Orchid) Flower Extract
파라클로렐라 케슬레리엑소폴리사카라이즈,Parachlorella Kessleri Exopolysaccharides
파라코쿠스 데니트리피칸스발효여과물,Paracoccus Denitrificans Ferment Filtrate
파라핀,Paraffin
파라잔틴,Paraxanthine
펠리토리추출물,Parietaria Officinalis Extract
부분하이드로제네이티드말오일,Partially Hydrogenated Horse Oil
서양개밀추출물,Pascopyron Smithii Extract
윙스템패션플라워캘러스추출물,Passiflora Alata Callus Extract
윙스템패션플라워열매추출물,Passiflora Alata Fruit Extract
패션프룻캘러스배양액,Passiflora Edulis Callus Culture Conditioned Media
패션프룻꽃추출물,Passiflora Edulis Flower Extract
패션프룻열매,Passiflora Edulis Fruit
패션프룻열매추출물,Passiflora Edulis Fruit Extract
패션프룻열매즙,Passiflora Edulis Fruit Juice
패션프룻열매수,Passiflora Edulis Fruit Water
패션프룻분열조직세포추출물,Passiflora Edulis Meristem Cell Extract
패션프릇껍질추출물,Passiflora Edulis Peel Extract
패션프릇씨추출물,Passiflora Edulis Seed Extract
패션프룻씨오일,Passiflora Edulis Seed Oil
패션프릇씨가루,Passiflora Edulis Seed Powder
과물시계꽃/시계꽃씨오일피이지-8에스터,Passiflora Edulis/Passiflora Incarnata Seed Oils PEG-8 Esters
인카르나타시계꽃전초추출물,Passiflora Incarnata Extract
인카르나타시계꽃추출물,Passiflora Incarnata Flower Extract
인카르나타시계꽃열매추출물,Passiflora Incarnata Fruit Extract
인카르나타시계꽃씨오일,Passiflora Incarnata Seed Oil
워터레몬꽃추출물,Passiflora Laurifolia Flower Extract
워터레몬열매추출물,Passiflora Laurifolia Fruit Extract
자이언트그라나딜라꽃추출물,Passiflora Quadrangularis Flower Extract
자이언트그라나딜라열매,Passiflora Quadrangularis Fruit
자이언트그라나딜라열매추출물,Passiflora Quadrangularis Fruit Extract
자이언트그라나딜라열매즙,Passiflora Quadrangularis Fruit Juice
자이언트그라나딜라겉껍질추출물,Passiflora Quadrangularis Hull Extract
파스닙뿌리추출물,Pastinaca Sativa Root Extract
마타리뿌리추출물,Patrinia Scabiosifolia Root Extract
뚝갈추출물,Patrinia Villosa Extract
과라나열매추출물,Paullinia Cupana Fruit Extract
과라나열매가루,Paullinia Cupana Fruit Powder
과라나씨추출물,Paullinia Cupana Seed Extract
과라나씨가루,Paullinia Cupana Seed Powder
과라나씨수,Paullinia Cupana Seed Water
참오동나무껍질/꽃/잎추출물,Paulownia Imperialis Bark/Flower/Leaf Extract
참오동나무잎추출물,Paulownia Tomentosa Leaf Extract
파보니아뿌리가루,Pavonia Odorata Root Powder
피씨에이,PCA
피씨에이다이메티콘,PCA Dimethicone
피씨에이에틸코코일알지네이트,PCA Ethyl Cocoyl Arginate
피씨에이글리세릴올리에이트,PCA Glyceryl Oleate
p-클로로-m-크레졸,p-Chloro-m-Cresol
p-클로로페놀,p-Chlorophenol
p-크레솔,p-Cresol
p-시멘,p-Cymene
완두콩팔미테이트,Pea Palmitate
복숭아커넬오일글리세레스-8에스터,Peach Kernel Oil Glycereth-8 Esters
피넛애씨드,Peanut Acid
피넛글리세라이즈,Peanut Glycerides
땅콩오일피이지-6에스터,Peanut Oil PEG-6 Esters
피넛아마이드엠이에이,Peanutamide MEA
피넛아마이드미파,Peanutamide MIPA
진주추출물,Pearl Extract
진주가루,Pearl Powder
토탄,Peat
토탄추출물,Peat Extract
토탄수,Peat Water
펙틴,Pectin
페디오코쿠스발효추출물,Pediococcus Ferment Extract
페디오코쿠스/감발효여과물,Pediococcus/Diospyros Kaki Fruit Ferment Filtrate
페디오코쿠스/돌외발효여과물,Pediococcus/Gynostemma Pentaphyllum Ferment Filtrate
페디오코쿠스/산삼배양근추출발효추출물,Pediococcus/Panax Ginseng Adventitious Root Extract Ferment Extract
"피이지/폴리(1,2-부테인다이올)-52/32다이메틸에터","PEG/Poly(1,2-Butanediol)-52/32 Dimethyl Ether"
피이지/피피지/부틸렌/다이메티콘코폴리머,PEG/PPG/Butylene/Dimethicone Copolymer(JPN)
피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린,PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin
피이지/피피지-1/2코폴리머,PEG/PPG-1/2 Copolymer
피이지/피피지-1/25다이에틸모늄클로라이드,PEG/PPG-1/25 Diethylmonium Chloride
피이지/피피지-10/2코폴리머,PEG/PPG-10/2 Copolymer
피이지/피피지-10/2다이리시놀리에이트,PEG/PPG-10/2 Diricinoleate
피이지/피피지-10/2리시놀리에이트,PEG/PPG-10/2 Ricinoleate
피이지/피피지-10/3올레일에터다이메티콘,PEG/PPG-10/3 Oleyl Ether Dimethicone
피이지/피피지-10/30코폴리머,PEG/PPG-10/30 Copolymer
피이지/피피지-10/70코폴리머,PEG/PPG-10/70 Copolymer
피이지/피피지-100/70토코페릴에터,PEG/PPG-100/70 Tocopheryl Ether
피이지/피피지-116/66코폴리머,PEG/PPG-116/66 Copolymer
피이지/피피지-12/16다이메티콘,PEG/PPG-12/16 Dimethicone
피이지/피피지-12/18다이메티콘,PEG/PPG-12/18 Dimethicone
피이지/피피지-120/10트라이메틸올프로판트라이올리에이트,PEG/PPG-120/10 Trimethylolpropane Trioleate
피이지/피피지-125/30코폴리머,PEG/PPG-125/30 Copolymer
피이지/피피지-14/4다이메티콘,PEG/PPG-14/4 Dimethicone
피이지/피피지-14/7다이메틸에터,PEG/PPG-14/7 Dimethyl Ether
피이지/피피지-15/15아세테이트,PEG/PPG-15/15 Acetate
피이지/피피지-15/15아세테이트다이메티콘,PEG/PPG-15/15 Acetate Dimethicone
피이지/피피지-15/15알릴에터아세테이트,PEG/PPG-15/15 Allyl Ether Acetate
피이지/피피지-15/15다이메티콘,PEG/PPG-15/15 Dimethicone
피이지/피피지-15/5다이메티콘,PEG/PPG-15/5 Dimethicone
피이지/피피지-150/30코폴리머,PEG/PPG-150/30 Copolymer
피이지/피피지-16/2다이메티콘,PEG/PPG-16/2 Dimethicone
피이지/피피지-16/8다이메티콘,PEG/PPG-16/8 Dimethicone
피이지/피피지-160/31코폴리머,PEG/PPG-160/31 Copolymer
피이지/피피지-17/18다이메티콘,PEG/PPG-17/18 Dimethicone
피이지/피피지-17/4다이메틸에터,PEG/PPG-17/4 Dimethyl Ether
피이지/피피지-17/6코폴리머,PEG/PPG-17/6 Copolymer
피이지/피피지-18/12다이메티콘,PEG/PPG-18/12 Dimethicone
피이지/피피지-18/18다이메티콘,PEG/PPG-18/18 Dimethicone
피이지/피피지-18/4코폴리머,PEG/PPG-18/4 Copolymer
피이지/피피지-18/6다이메티콘,PEG/PPG-18/6 Dimethicone
피이지/피피지-19/19다이메티콘,PEG/PPG-19/19 Dimethicone
피이지/피피지-19/21코폴리머,PEG/PPG-19/21 Copolymer
피이지/피피지-2/5토코페릴에터,PEG/PPG-2/5 Tocopheryl Ether
피이지/피피지-20/15다이메티콘,PEG/PPG-20/15 Dimethicone
피이지/피피지-20/20다이메티콘,PEG/PPG-20/20 Dimethicone
피이지/피피지-20/20페닐아이소프로필카프릴릴다이메티콘,PEG/PPG-20/20 Phenylisopropyl Caprylyl Dimethicone
피이지/피피지-20/22부틸에터다이메티콘,PEG/PPG-20/22 Butyl Ether Dimethicone
피이지/피피지-20/22메틸에터다이메티콘,PEG/PPG-20/22 Methyl Ether Dimethicone
피이지/피피지-20/23다이메티콘,PEG/PPG-20/23 Dimethicone
