三级类目名称,三级类目编码,三级类目产品数,页码,产品编码,产品链接,采集时间
 전체,100000100010008,645,2,A000000159263,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159263&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000157244,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157244&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000135974,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000135974&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000136077,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000136077&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000137179,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137179&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000132122,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132122&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000152457,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152457&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000154538,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154538&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000155064,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155064&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000149992,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149992&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000149525,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149525&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000149400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149400&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000153913,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153913&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000158930,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158930&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000016752,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016752&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000144534,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144534&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000143198,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143198&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000104167,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104167&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000157776,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157776&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000112064,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000112064&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000006570,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006570&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000147964,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147964&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000157706,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157706&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000006564,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006564&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000152465,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152465&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000153547,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153547&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
